longitude,latitude,value
5.9167,62.6500,7.2797
6.0833,62.6500,7.2061
6.2500,62.6500,7.1398
6.4167,62.6500,7.0691
6.5833,62.6500,6.9938
2.4167,62.5500,8.2416
2.5833,62.5500,8.2027
2.7500,62.5500,8.1523
2.9167,62.5500,8.0929
3.0833,62.5500,8.0271
3.2500,62.5500,7.9586
3.4167,62.5500,7.8905
3.5833,62.5500,7.8260
3.7500,62.5500,7.7678
3.9167,62.5500,7.7175
4.0833,62.5500,7.6750
4.2500,62.5500,7.6382
4.4167,62.5500,7.6069
4.5833,62.5500,7.5775
4.7500,62.5500,7.5522
4.9167,62.5500,7.5296
5.0833,62.5500,7.5052
5.2500,62.5500,7.4718
5.4167,62.5500,7.4315
5.5833,62.5500,7.3873
5.7500,62.5500,7.3327
5.9167,62.5500,7.2734
6.0833,62.5500,7.2066
6.2500,62.5500,7.1466
2.0833,62.4500,8.3110
2.2500,62.4500,8.2985
2.4167,62.4500,8.2666
2.5833,62.4500,8.2184
2.7500,62.4500,8.1577
2.9167,62.4500,8.0873
3.0833,62.4500,8.0098
3.2500,62.4500,7.9294
3.4167,62.4500,7.8497
3.5833,62.4500,7.7745
3.7500,62.4500,7.7070
3.9167,62.4500,7.6492
4.0833,62.4500,7.6015
4.2500,62.4500,7.5630
4.4167,62.4500,7.5328
4.5833,62.4500,7.5069
4.7500,62.4500,7.4870
4.9167,62.4500,7.4713
5.0833,62.4500,7.4550
5.2500,62.4500,7.4306
5.4167,62.4500,7.4001
5.5833,62.4500,7.3660
5.7500,62.4500,7.3213
5.9167,62.4500,7.2709
6.0833,62.4500,7.2118
6.2500,62.4500,7.1590
1.5833,62.3500,8.2751
1.7500,62.3500,8.3157
1.9167,62.3500,8.3380
2.0833,62.3500,8.3397
2.2500,62.3500,8.3199
2.4167,62.3500,8.2799
2.5833,62.3500,8.2229
2.7500,62.3500,8.1526
2.9167,62.3500,8.0716
3.0833,62.3500,7.9831
3.2500,62.3500,7.8917
3.4167,62.3500,7.8017
3.5833,62.3500,7.7169
3.7500,62.3500,7.6410
3.9167,62.3500,7.5785
4.0833,62.3500,7.5286
4.2500,62.3500,7.4906
4.4167,62.3500,7.4627
4.5833,62.3500,7.4413
4.7500,62.3500,7.4273
4.9167,62.3500,7.4186
5.0833,62.3500,7.4101
5.2500,62.3500,7.3943
5.4167,62.3500,7.3734
5.5833,62.3500,7.3495
5.7500,62.3500,7.3138
6.0833,62.3500,7.2212
1.2500,62.2500,8.2027
1.4167,62.2500,8.2627
1.5833,62.2500,8.3107
1.7500,62.2500,8.3442
1.9167,62.2500,8.3598
2.0833,62.2500,8.3550
2.2500,62.2500,8.3283
2.4167,62.2500,8.2809
2.5833,62.2500,8.2156
2.7500,62.2500,8.1362
2.9167,62.2500,8.0455
3.0833,62.2500,7.9470
3.2500,62.2500,7.8458
3.4167,62.2500,7.7468
3.5833,62.2500,7.6540
3.7500,62.2500,7.5714
3.9167,62.2500,7.5060
4.0833,62.2500,7.4552
4.2500,62.2500,7.4186
4.4167,62.2500,7.3934
4.5833,62.2500,7.3768
4.7500,62.2500,7.3687
4.9167,62.2500,7.3666
5.0833,62.2500,7.3655
